state,year,quarter,genericind,drugtype,imprx,adjmedamt,unadjmedamt,percap_rx,percap_adjmedamt,percap_unadjmedamt,futurerevision
AR,2015,all,all,bup,2794,838782.3013000001,1068327.58,3.623163739055701,1087.704230147407,1385.370704827892,no
AR,2015,all,all,naloxone,17,-107.5918,154.88,.0220450191710619,-.1395213702146504,.2008430923067097,no
AR,2015,all,all,naltrexone,362,15327.4041,16293.53,.4694292317602591,19.87605395453604,21.12889301260424,no
AR,2016,all,all,all,2897,692399.7153,980877.98,4.022982869255053,961.5161178215312,1362.117815108561,no
AR,2016,all,all,bup,2419,676494.7429,963441.2799999999,3.359197639188117,939.4293275208151,1337.903957533021,no
AR,2016,all,all,naloxone,32,410.2158999999999,805.29,.0444375049417196,.5696553463569359,1.118283698578668,no
AR,2016,all,all,naltrexone,446,15494.7565,16631.41,.619347725125217,21.51713495435912,23.0955738769614,no
AR,2017,all,all,all,3295,912618.0466110001,1155311.57,4.610128063096493,1276.869823238141,1616.429223210036,no
AR,2017,all,all,bup,2660,893628.0885109999,1134134.41,3.721681531968641,1250.300433631514,1586.799657318478,no
AR,2017,all,all,naloxone,37,690.6549,1354.66,.0517677506326465,.9663148820652814,1.895343272216782,no
AR,2017,all,all,naltrexone,598,18299.3032,19822.5,.8366787804952058,25.6030747245619,27.7342226193415,no
AR,2018,all,all,all,4616,1143669.702093673,1469511.67,7.3709119836901,1826.232390066192,2346.542716329171,no
AR,2018,all,all,bup,3557,1100407.968,1403105.81,5.679881699736934,1757.151273457381,2240.504642399091,no
AR,2018,all,all,naloxone,425,25509.50759367347,47409.01,.6786476588102888,40.73404142552889,75.7035615129731,no
AR,2018,all,all,naltrexone,634,17752.2265,18996.85,1.012382625142878,28.34707518328227,30.33451241710643,no
AR,2019,,,,,,,,,,yes
AZ,2010,all,all,all,15091,145605.1868,1994580.05,17.49887595435172,168.8375258182632,2312.829426543943,no
AZ,2010,all,all,bup,13706,72517.23779999996,1911080.76,15.89288939303854,84.087876801698,2216.00723331709,no
AZ,2010,all,all,naloxone,6,119.0902,125.9,.0069573425038838,.1380918850426703,.1459882368731615,no
AZ,2010,all,all,naltrexone,1379,72968.8588,83373.39,1.599029218809292,84.61155713152247,96.67620498997998,no
AZ,2011,all,all,all,21379,121937.1634198978,3307830.69,25.88882331277701,147.6593703652627,4005.605701014607,no
AZ,2011,all,all,bup,18871,-27144.18648010213,3146695.94,22.85176971492657,-32.87015518744725,3810.480153874961,no
AZ,2011,all,all,naloxone,0,0,0,0,0,0,no
AZ,2011,all,all,naltrexone,2508,149081.3499,161134.75,3.037053597850449,180.52952555271,195.1255471396462,no
AZ,2012,all,all,all,6792,80718.52188328138,1173167.69,7.4707200529286,88.78467021145264,1290.401558764859,no
AZ,2012,all,all,bup,5741,12871.58895328137,1101240.52,6.314694320356756,14.15783829598548,1211.286754396572,no
AZ,2012,all,all,naloxone,5,130.18385,162.7,.0054996466820735,.14319303574241,.1789585030346706,no
AZ,2012,all,all,naltrexone,1046,67716.74907999999,71764.47,1.15052608588977,74.48363887972471,78.93584586525219,no
AZ,2013,all,all,all,14811,630524.6250204107,2110317.9,16.76814900794679,713.843148033355,2389.178651092927,no
AZ,2013,all,all,bup,13016,572257.4349204107,2046474.19,14.73595486377931,647.8764391095035,2316.898532093525,no
AZ,2013,all,all,naloxone,2,6.115300000000001,13.6,.0022642831689888,.0069233854316587,.015397125549124,no
AZ,2013,all,all,naltrexone,1793,58261.0748,63830.10999999999,2.029929860998487,65.95978553841965,72.26472187385281,no
AZ,2014,all,all,all,17341,1857688.36911,2101387.85,13.99200629684661,1498.920901803001,1695.555736653997,no
AZ,2014,all,all,bup,15398,1786144.14251,2006631.3,12.42424963720917,1441.193707922012,1619.099116835794,no
AZ,2014,all,all,naloxone,3,80.5916,195.1,.0024206227374742,.0650272864698082,.1574211653604045,no
AZ,2014,all,all,naltrexone,1940,71463.63500000001,94561.45000000001,1.565336036899973,57.66216659451867,76.29919865284276,no
AZ,2015,all,all,all,35943,3735600.55105,4443219.51,26.01022266951954,2703.274688734675,3215.344540651963,no
AZ,2015,all,all,bup,31859,3550981.726449999,4167519.17,23.05482803406013,2569.674913066784,3015.833447157757,no
AZ,2015,all,all,naloxone,5,695.8760999999998,1292.88,.0036182598377319,.5035721089335016,.935595155801364,no
AZ,2015,all,all,naltrexone,4079,183922.9485,274407.46,2.951776375621685,133.0962035589566,198.5754983384046,no
AZ,2016,all,all,all,39891,4487608.961013027,6196788.560000001,27.11699877614583,3050.574984422835,4212.436584631985,no
AZ,2016,all,all,bup,33723,3951961.9277,5196851.300000001,22.92413200290707,2686.454256770094,3532.701871146672,no
AZ,2016,all,all,naloxone,564,39595.97624302697,76129.94,.3833944325724161,26.91644830469183,51.75140983700723,no
AZ,2016,all,all,naltrexone,5604,496051.05707,923807.3200000001,3.809472340666347,337.2042793480493,627.9833036483057,no
AZ,2017,all,all,all,61992,8480081.137032948,12330796.07,43.23958606703524,5914.879309913831,8600.763291131516,no
AZ,2017,all,all,bup,48385,6552079.8184,8550629.460000001,33.74866711597464,4570.093225348293,5964.086954171459,no
AZ,2017,all,all,naloxone,4666,319119.9984329492,579747.4,3.25454749949649,222.5870537803855,404.3753645541345,no
AZ,2017,all,all,naltrexone,8941,1608881.3202,3200419.21,6.236371451564106,1122.199030785153,2232.300972405922,no
